,open,high,low,close,adjclose,volume,ticker
2019-09-25,26.25,26.709999084472656,24.799999237060547,25.299999237060547,25.299999237060547,20379644,TMV.DE
2019-09-26,25.209999084472656,25.389999389648438,23.350000381469727,23.420000076293945,23.420000076293945,4793818,TMV.DE
2019-09-27,23.600000381469727,24.780000686645508,22.90999984741211,24.100000381469727,24.100000381469727,2314464,TMV.DE
2019-09-30,24.489999771118164,24.700000762939453,24.170000076293945,24.690000534057617,24.690000534057617,1072712,TMV.DE
2019-10-01,24.959999084472656,25.700000762939453,24.860000610351562,25.5,25.5,988476,TMV.DE
2019-10-02,25.700000762939453,25.700000762939453,24.850000381469727,25.030000686645508,25.030000686645508,874664,TMV.DE
2019-10-04,25.139999389648438,25.399999618530273,24.399999618530273,24.56999969482422,24.56999969482422,620494,TMV.DE
2019-10-07,24.75,25.15999984741211,23.56999969482422,23.75,23.75,603631,TMV.DE
2019-10-08,23.6299991607666,23.889999389648438,22.75,22.75,22.75,517849,TMV.DE
2019-10-09,22.610000610351562,22.889999389648438,21.3799991607666,21.799999237060547,21.799999237060547,513059,TMV.DE
2019-10-10,22.270000457763672,22.43000030517578,21.90999984741211,22.399999618530273,22.399999618530273,313813,TMV.DE
2019-10-11,22.649999618530273,23.65999984741211,22.6200008392334,23.200000762939453,23.200000762939453,409729,TMV.DE
2019-10-14,23.459999084472656,23.799999237060547,23.25,23.760000228881836,23.760000228881836,192768,TMV.DE
2019-10-15,23.959999084472656,24.309999465942383,23.899999618530273,24.170000076293945,24.170000076293945,122309,TMV.DE
2019-10-16,24.25,24.5,24.219999313354492,24.299999237060547,24.299999237060547,74628,TMV.DE
2019-10-17,24.360000610351562,24.690000534057617,24.15999984741211,24.15999984741211,24.15999984741211,114000,TMV.DE
2019-10-18,24.18000030517578,24.459999084472656,23.950000762939453,24.100000381469727,24.100000381469727,90700,TMV.DE
2019-10-21,24.3799991607666,24.399999618530273,23.93000030517578,23.93000030517578,23.93000030517578,50613,TMV.DE
2019-10-22,24.200000762939453,24.280000686645508,23.799999237060547,23.850000381469727,23.850000381469727,95655,TMV.DE
2019-10-23,23.8799991607666,24.0,23.489999771118164,23.489999771118164,23.489999771118164,104284,TMV.DE
2019-10-24,23.530000686645508,23.600000381469727,22.520000457763672,23.049999237060547,23.049999237060547,237558,TMV.DE
2019-10-25,23.0,23.09000015258789,22.530000686645508,22.530000686645508,22.530000686645508,99781,TMV.DE
2019-10-28,22.790000915527344,23.229999542236328,22.719999313354492,23.149999618530273,23.149999618530273,85530,TMV.DE
2019-10-29,23.06999969482422,23.579999923706055,23.06999969482422,23.5,23.5,108422,TMV.DE
